Company Name,Symbol,Yahoo Finance Codes
ACC Ltd.,ACC,ACC.NS
AU Small Finance Bank Ltd.,AUBANK,AUBANK.NS
Aarti Industries Ltd.,AARTIIND,AARTIIND.NS
Abbott India Ltd.,ABBOTINDIA,ABBOTINDIA.NS
Adani Gas Ltd.,ADANIGAS,ADANIGAS.NS
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,ADANIPORTS.NS
Adani Power Ltd.,ADANIPOWER,ADANIPOWER.NS
Adani Transmission Ltd.,ADANITRANS,ADANITRANS.NS
Aditya Birla Capital Ltd.,ABCAPITAL,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL,ABFRL.NS
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,AJANTPHARM.NS
Alkem Laboratories Ltd.,ALKEM,ALKEM.NS
Amara Raja Batteries Ltd.,AMARAJABAT,AMARAJABAT.NS
Ambuja Cements Ltd.,AMBUJACEM,AMBUJACEM.NS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,APOLLOHOSP.NS
Apollo Tyres Ltd.,APOLLOTYRE,APOLLOTYRE.NS
Ashok Leyland Ltd.,ASHOKLEY,ASHOKLEY.NS
Asian Paints Ltd.,ASIANPAINT,ASIANPAINT.NS
Aurobindo Pharma Ltd.,AUROPHARMA,AUROPHARMA.NS
Avenue Supermarts Ltd.,DMART,DMART.NS
Axis Bank Ltd.,AXISBANK,AXISBANK.NS
Bajaj Auto Ltd.,BAJAJ-AUTO,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,BAJFINANCE,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,BAJAJHLDNG.NS
Balkrishna Industries Ltd.,BALKRISIND,BALKRISIND.NS
Bandhan Bank Ltd.,BANDHANBNK,BANDHANBNK.NS
Bank of Baroda,BANKBARODA,BANKBARODA.NS
Bank of India,BANKINDIA,BANKINDIA.NS
Bata India Ltd.,BATAINDIA,BATAINDIA.NS
Berger Paints India Ltd.,BERGEPAINT,BERGEPAINT.NS
Bharat Electronics Ltd.,BEL,BEL.NS
Bharat Forge Ltd.,BHARATFORG,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,BHEL,BHEL.NS
Bharat Petroleum Corporation Ltd.,BPCL,BPCL.NS
Bharti Airtel Ltd.,BHARTIARTL,BHARTIARTL.NS
Bharti Infratel Ltd.,INFRATEL,INFRATEL.NS
Biocon Ltd.,BIOCON,BIOCON.NS
Bombay Burmah Trading Corporation Ltd.,BBTC,BBTC.NS
Bosch Ltd.,BOSCHLTD,BOSCHLTD.NS
Britannia Industries Ltd.,BRITANNIA,BRITANNIA.NS
CESC Ltd.,CESC,CESC.NS
Cadila Healthcare Ltd.,CADILAHC,CADILAHC.NS
Canara Bank,CANBK,CANBK.NS
Castrol India Ltd.,CASTROLIND,CASTROLIND.NS
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,CHOLAFIN.NS
Cipla Ltd.,CIPLA,CIPLA.NS
City Union Bank Ltd.,CUB,CUB.NS
Coal India Ltd.,COALINDIA,COALINDIA.NS
Coforge Ltd.,COFORGE,COFORGE.NS
Colgate Palmolive (India) Ltd.,COLPAL,COLPAL.NS
Container Corporation of India Ltd.,CONCOR,CONCOR.NS
Coromandel International Ltd.,COROMANDEL,COROMANDEL.NS
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,CROMPTON.NS
Cummins India Ltd.,CUMMINSIND,CUMMINSIND.NS
DLF Ltd.,DLF,DLF.NS
Dabur India Ltd.,DABUR,DABUR.NS
Dalmia Bharat Ltd.,DALBHARAT,DALBHARAT.NS
Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB.NS
Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY,DRREDDY.NS
Edelweiss Financial Services Ltd.,EDELWEISS,EDELWEISS.NS
Eicher Motors Ltd.,EICHERMOT,EICHERMOT.NS
Emami Ltd.,EMAMILTD,EMAMILTD.NS
Endurance Technologies Ltd.,ENDURANCE,ENDURANCE.NS
Escorts Ltd.,ESCORTS,ESCORTS.NS
Exide Industries Ltd.,EXIDEIND,EXIDEIND.NS
Federal Bank Ltd.,FEDERALBNK,FEDERALBNK.NS
Fortis Healthcare Ltd.,FORTIS,FORTIS.NS
Future Retail Ltd.,FRETAIL,FRETAIL.NS
GAIL (India) Ltd.,GAIL,GAIL.NS
GMR Infrastructure Ltd.,GMRINFRA,GMRINFRA.NS
General Insurance Corporation of India,GICRE,GICRE.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK,GLENMARK.NS
Godrej Agrovet Ltd.,GODREJAGRO,GODREJAGRO.NS
Godrej Consumer Products Ltd.,GODREJCP,GODREJCP.NS
Godrej Industries Ltd.,GODREJIND,GODREJIND.NS
Godrej Properties Ltd.,GODREJPROP,GODREJPROP.NS
Grasim Industries Ltd.,GRASIM,GRASIM.NS
Gujarat Gas Ltd.,GUJGASLTD,GUJGASLTD.NS
Gujarat State Petronet Ltd.,GSPL,GSPL.NS
HCL Technologies Ltd.,HCLTECH,HCLTECH.NS
HDFC Asset Management Company Ltd.,HDFCAMC,HDFCAMC.NS
HDFC Bank Ltd.,HDFCBANK,HDFCBANK.NS
